App_ID,Title,Installs,Rating,1_star,2_star,3_star,4_star,5_star,Description
com.TB.FS2d,Flight Simulator 2d - sandbox,,4.7231407,360,213,434,1907,14869,"Hey there, are you ready for a wild ride through the skies? Then buckle up and get ready for Flight Simulator 2D - the ultimate 2D flight simulation game for anyone who loves the thrill of flying! This game is perfect for beginners and aviation enthusiasts alike, with its realistic cockpit controls and exciting game modes.

But let's talk planes - Flight Simulator 2D has you covered with a diverse selection of aircraft to choose from. Whether you're feeling like a simple single-engine prop plane or want to fly a passenger jet or combat-style fighter, there's a plane that will suit your flying style. With eight planes to choose from, you can customize your flying experience and take on different challenges with ease. Whether you're in the mood for a relaxing scenic cruise or an adrenaline-pumping flight, Flight Simulator 2D has the perfect plane for you.

The 2D graphics and simple gameplay of Flight Simulator 2D make it an easy and accessible game for players of all skill levels. The controls are intuitive and the physics are realistic, providing a challenging yet engaging experience. And with its sleek art style and fun gameplay, Flight Simulator 2D is sure to impress both casual gamers and diehard aviation fans alike.

But the real excitement comes from the game's environments, which are randomly generated and full of life and detail. Whether you're flying over small towns or soaring above bustling cities, the game's environments are full of breathtaking landscapes. With day and night cycles, players can experience the beauty of a sunrise over the ocean or the glittering lights of a city at night. And with a variety of environments to explore, from lush forests and rolling hills to towering mountains and sandy beaches, there's always something new to discover.

Flight Simulator 2D also features three exciting game modes: free flight, transport, and landing challenge. In free flight mode, you're free to explore the maps at your own pace, trying out different planes and enjoying the scenery. In transport mode, you'll be tasked with delivering cargo to various locations, testing your piloting skills and precision. And in landing challenge mode, you'll have to land as smoothly as possible to reach a perfect 10 out of 10 score.

And let's not forget the bonus systems - daily tasks and daily gifts. Completing challenges and tasks earns you rewards that can be used to unlock new planes, improve your airline and pilot rating, and increase your overall distance flown. With Flight Simulator 2D, the sky's the limit!

So, what are you waiting for? Download Flight Simulator 2D now and take to the skies! With its stunning graphics, authentic controls, and immersive gameplay, this app is sure to keep you entertained for hours on end. Whether you're looking for a fun way to pass the time or a challenging new game to master, Flight Simulator 2D is the perfect game for you. Get ready to fly like a pro and explore the vast and beautiful world that awaits you!"
com.wireless.defenseland,Raid Rush: Tower Defense TD,,4.2029295,15553,6421,20626,28131,118558,"Get ready for the most unique tower defense game, where you set your defense strategy and rush into epic TD battles to protect your base!

Discover amazing gaming experiences and exciting chapters in this tower defense game filled with unique towers, skills, and heroes. Rush through endless scenarios by arranging your towers and roads to defend your base against the waves of the enemy raid!

Strategy Unites with Luck
• Reveal the mega tower and assemble your battle deck according to your defense strategy, but which tower cards you will get during the battle is a matter of complete luck.
• Beat the enemy raid, level up, pick one of three random tower cards from your deck, and strengthen your defense power. Make wise decisions for the best strategy, as poor choices lead to defeat, and there is no way back!

Arrange Roads and Expand Your Land
• Path cards give you complete control over the enemy route to your base. Strike and conquer the enemy units before they even get close to your base. Your defense strength and strategic approach are the key to victory!
• Check out the tower's abilities and stats, then place the paths accordingly. Arrange your battle strategy carefully to ensure victory! With thousands of unique defense strategy combinations at your command, the unique possibilities are endless!

Various Scenarios in Gameplay
• Dozens of characteristic maps, arenas, chapters, and tower units await you on your strategy to victory.
• Face diverse enemies, powerful bosses, air and ground units, and rush to beat them all.
• Build special tower units and battle deck alternatives to gain an advantage over the enemy raid.
• Merge tower cards to upgrade your attack power, and use booster skills to rise above the raid and destroy your rivals!
• Select the perfect hero for your defense strategy, and upgrade your hero to increase the attack damage!
• Join events and tournaments that help you to progress in the leaderboard and earn more trophies.
• Complete quests and rush to collect daily rewards to unlock unique awards.

Raid Rush is not just a tower defense game; it's an exhilarating journey of choices, tactics, and chance. So, why wait? Dive in and forge your legend of defense through the thrilling rush!

The base is under attack and desperate for a hero like you to develop a strategy and lead the defense!

Play Raid Rush now and fight for the survival of your towers in this epic strategy game!

---

Contact our Support Team: support@panteon.games
Join our Discord: https://discord.gg/raidrush

Privacy Policy: https://www.panteon.games/en/privacy-policy
Terms and Conditions:  https://www.panteon.games/en/terms-and-conditions"
com.manacore.mod,DragonSky : Idle & Merge,,4.274869,4645,2316,2864,6550,35811,"NEW! Global Server & Legion Conquest Update!
3D high-quality shooting action RPG! Conquer the wider global sky with other players from all around the world.

New [Legion Conquest] update released. Prove to be the strongest with your legion members.
Fuse and collect dragons to enjoy the battle with millions of players from all around the world.


★Features
- Your own troop of powerful dragons!
Combine dragons to get a legendary dragon!
Use the powerful skills of legendary dragons to claim victory!

Upgrade the dragons for an even more power!
Form your team according to the attributes for added excitement!

- Idle Shooting RPG
Crush the enemies with auto battle!
Turning off the game won't stop the fight!

Thirsty for some shooting actions?
Show off your skills with the Boss Battle!

- Endless Contents to Enjoy
Compete against other users in the League Ranking!
Defeat different Attribute Bosses every day!

Cooperate with your Legion Members to eliminate the monster!
Receive the goddess's protection to breakthrough!


▶Notice per Access Authority◀
Dragon Sky needs permission to access the following to provide game service.

[Required]
None

[Optional]
- Notification: Permission required to receive information and promotional push notifications sent from the game.

You can enjoy Dragon Sky in English, 한글, 日本語,  中文繁體 .


* Items are available for purchase in this game. Some paid items may be refundable depending on the type of item.
* For Com2uS Mobile Game Terms of Service, visit www.com2us.com.
- Terms of Service : http://terms.withhive.com/terms/policy/view/M9/T1
- Privacy Policy : http://terms.withhive.com/terms/policy/view/M9/T3
* For questions or customer support, please contact our Customer Support by visiting http://www.withhive.com/help/inquire"
com.absolutist.skyclash,Sky Clash: Lords of Clans 3D,,4.372709,2340,1671,8526,20062,49487,"Sky Clash is an epic MMO RTS with stunning 3D visuals. Build up your empire on floating islands and defend sky towers in an online PvP strategy game!

Game features:
✔ Take a journey into a unique steampunk world
✔ Discover an incredible world of an epic combat
✔ Develop your little base into an unbeatable fort
✔ Create your clan and lead it to global glory
✔ Take part in PvP battles and epic 4x4 clan wars
✔ Withstand the robot &invasion
✔ Upgrade your defense, weapons and airship to win air battles
✔ Train troops and send your heroes to war
✔ Struggle other players worldwide and grab their gold and steam
✔ Enjoy fantastic HD graphics, exceptional for mobile devices
✔ Explore a vast PvE map, mining resources and completing quest missions
✔ Fight monsters, hunt pirates and rush for gold in the Journey mode

Commander, are you ready to lead the army of islanders, conquer new lands and become the king of the sky? Sky Clash is a unique PvP and PvE war game, where enemy attacks are everywhere. Use different strategies and tactics to stay alive like in classic strategy.

Come and compete in online mmo battles against your enemies in this free 2 play game. Or, team up with your allies to cast fire on other defenders and watch their castles burning! All means are good for the survival of your cloud kingdom.

Enjoying Sky Clash: Lords of Clans 3D? Learn more about the game!

<b>Facebook:</b> <a href=""https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2FSkyClash.3D&sa=D&sntz=1&usg=AOvVaw1E3ReLPMDZCkiq-HRcMt9m"">https://www.facebook.com/SkyClash.3D</a>

Questions? Contact our <b>tech support</b> at support@absolutist.com"
tk.jewels.rush,Jewel Rush,,4.35,496,165,165,780,3985,"Welcome to the Jewel Rush era! Solve crazy match-3 puzzles to help John to discover new treasures around the planet. 
During your journey you will discover new jungles, beautiful  icebergs, mysterious deserts and many other surprising places!

Get ready for an interesting and surprising adventure. In each world you will discover new levels and modes that will bring you one step closer to be a jewel quest and match-3 MASTER.

What are you waiting for? Meet John and start the jewel quest adventure together!
Your quest starts right now!


<b>JEWEL RUSH FEATURES:</b>


-Unique gameplay: Outstanding design ,swap and match the jewels and move on in your quest journey.

-Complete tons of challenging and fun match-3 levels and unlock new worlds!

-Gifts Chest: The more stars you collect by completing levels the more amazing rewards you win!

-A lot of unique boosters and power-ups to help you solve puzzles and send you away to the next level!

-Daily Events: Daily bonus, free gifts, Crown Challenge and much more fun surprises!

-Use Facebook to sync your game easily and save your progress in the game between all your devices phone and tablet!

-No internet or Wi-Fi connection required to play!"
com.gameloft.android.ANMP.GloftDMHM,Minion Rush: Running Game,,4.4221897,902125,278806,396957,845258,8106442,"Step into the New Generation of Minion Rush!

Experience the ultimate endless running adventure in Minion Rush! With updated new features, exciting challenges, and nonstop fun from Illumination's Minions franchise, this refreshed game is bigger, bolder, and better than ever!

A Fresh New Look
Discover updated visuals and a sleek, modern new design! From reimagined locations to revamped adventures, every detail has been updated to keep the excitement flowing.

Endless Run Mode
Jump straight into action with the brand-new ENDLESS RUN! Test your skills, break records, and collect epic rewards. Every run is your chance to shine!

Progress with the Hall of Jam
Collect bananas to unlock new locations, costumes, and features. 

Collect and Upgrade Minion Costumes
Run in style with unique Minion costumes! Unlock themed collections for extra bonuses. Collect exclusive stickers to expand your wardrobe and boost your runs.

Gadgets and Power-Ups
Pair costumes with clever Gadgets for strategic fun! 

Power-Up Your Runs 
Unlock power-ups to supercharge your runs and go farther and faster!

Exciting Tournaments
Show off your skills in daily and weekly tournaments! Climb the leaderboards, earn legendary rewards, and compete with players worldwide.

Solve Story Puzzles
STORY PUZZLES let you relive your favorite Minions movies by collecting puzzle pieces during your runs.

Personalized Profiles
Stand out with customizable Player Profiles! Choose your nickname, avatar, and frame to showcase your progress in style.

Join more than a billion players and experience endless mischief, mayhem, and fun in Minion Rush! Download now and start your adventure!

________________________________________
Privacy Policy: http://www.gameloft.com/en/privacy-notice
Terms of Use: http://www.gameloft.com/en/conditions-of-use
End-User License Agreement: http://www.gameloft.com/en/eula

Disabling password protection may result in unauthorized purchases. We strongly encourage you to keep password protection turned on if you have children or if others could have access to your device.
This game contains advertising for Gameloft’s products or some third parties, which will redirect you to a third-party site. You can disable your device's ad identifier being used for interest-based advertising in the settings menu of your device. This option can be found in the Settings app > Accounts (Personal) > Google > Ads (Settings and Privacy) > Opt out of interest-based ads.
Certain aspects of this game will require players to connect to the Internet."
com.i6.transportairplane,Flight Sim: Transport Plane 3D,,3.27,16199,3434,3434,2942,23069,"Flight Sim: Transport Plane 3D is a brand new 3D Plane Simulator Game! Your mission is to fly an army transporter jet, board the soldiers and vehicles onto the plane and drop them off at the correct destination, fly through the waypoints to ensure you stay on course and drop the soldiers inside the dropzones.

How to play: You simply need to park your plane in the parking bay, let the soldiers and the Jeep(s) board the airplane. Once all have boarded, simply close the hatch and get flying. Some levels you must fly off and then land the plane in another location to collect the soldiers. Good luck pilot."
com.i6.FlightSimulatorAirplane3D,Flight Simulator: Fly Plane 3D,,3.6490066,171546,34908,42501,53127,385616,"Flight Simulator: Fly Plane 3D is an awesome new 3D Airplane Simulator game, become the pilot and fly your commercial jet to the destination. Guide and steer your plane through all of the waypoints to ensure you head to the correct destination, go through all of the waypoints and land at your destination airport within the time limit to earn yourself more pilot stripes. When arriving at your destination zone, slow the plane down and prepare for landing, be careful not to crash! Guide your plane towards the runway and park within the marked zone to complete the level. While parking your plane, be very careful to avoid the buses, helicopters etc parked along the run way."
com.flightview.flightview_free,FlightView: Flight Tracker,,1.469496,9650,859,477,254,763,"Flight tracking app from the leaders in real-time flight information.  Track upcoming and in-air flights throughout the world, and receive status alerts via push notification.  Check gate assignments, delays and cancellations and use the attractive flight map to see a flight's progress. See your Trips across mobile devices and at www.FlightView.com.  View a North American airport delay map with radar weather overlay.  Optimized for phone and tablets.  Wherever life takes you, count on FlightView to help you travel smarter!

 Flight Tracking Features:
 • Track flights on a map showing flight path and current radar weather
 • My Home page gives an easy view into your home airport’s current status and your next trip 
 • Flight Status Push Alerts for flights stored in My Trips
 • View terminal, gate and baggage claim information
 • Driving Directions to Airport integration with Google Maps
 • Easily find alternative flights by viewing flight schedules between cities
 • Search flights up to 350 days in the future and save them

My Trips Features:
 • Trips are synced between devices and with www.FlightView.com so you can quickly reference their statuses everywhere 
 • Add notes to flights or trips, such as car rental and hotel reservation numbers, and keep all of your day-of-travel information in one place

Airport Delay Information Features:
 • View a color-coded map of airport delays in the US & Canada with weather overlay to see how your travel plans could be affected
 • View list of airports suffering the Biggest Departure Delays right now 
 • View FlightView's proprietary Airport Delay Index for 180 major airports in the US and Canada
 • View FAA Airport Closures & Delay Programs for major airports in the US

Login to FlightView using Google login

Tired of Ads?
 • If you would like to avoid seeing ads, then check out our FlightView application in the paid section of the App Store - no ads there!"
com.ironhidegames.android.kingdomrush,Kingdom Rush Tower Defense TD,,4.715048,19514,7123,16572,107345,691516,"Join an epic adventure! Protect the kingdom and clash in amazing tower defense battles!
Welcome to Kingdom Rush!

Fight on forests, mountains, and wastelands, customizing your defense plan with different tower upgrades and specializations!

Clash against bloodthirsty orcs, mountain trolls, evil necromancers, scores of demons, and more. They all have their own battle abilities to bring a new dimension to the genre!
Rain fire upon your enemies, summon reinforcements, command your troops, recruit elven warriors, and face legendary monsters on a quest to save the Kingdom from the evil hands of Vez'Nan!

Over a decade of tower defense pedigree makes Kingdom Rush the favorite strategy game for millions of players. Enjoy endless hours of fun strategy games!

Kingdom Rush is a captivating strategy game, where you get to defend the kingdom of Linirea in non-stop, action-packed tower defense battles!
Craft your perfect defense and army from a combination of powerful Heroes and awesome Towers! Build your strategy in intense battlefield encounters with your enemies.

LEAD YOUR MIGHTY TOWERS AND HEROES
★ Plan your defense strategy! Train heroes and select the perfect tactical support for each battlefield.
★ Clash against mighty enemies. In this offline strategy game, bravery is the key to victory!

UPGRADE YOUR ARMY with 18 unique tower abilities.
★ Rush to test your tactical power in battle!

DEFEND, COMMAND AND CONQUER THE KINGDOM
★ 13 MIGHTY HEROES to help you achieve victory in epic offline tower defence battles!
★ LEAD YOUR ARMY into action! Clash with mighty enemies in Ironhide’s styled cartoon battle!

EPIC OFFLINE TOWER DEFENCE CONTENT
★ 50+ UNIQUE ENEMIES: Goblins, Demons and more. This offline strategy game has it all!
The ideal mix between an electrifying clash and epic offline strategy games is here!
★ 60+ IN-GAME ACHIEVEMENTS: discover easter eggs, beat challenges and win rewards!
★ EXTRA OFFLINE TD GAMES MODES to push your tower defence strategy to the limit.
★ EPIC BOSS FIGHTS against the kingdom’s mightiest threats in intense tactical challenges!
★ OFFLINE GAME ENCYCLOPEDIA: use info regarding your enemies & heroes in battle to command the best defense strategy as you clash on the battlefield!
★ PLAY OFFLINE ANYWHERE! A true offline games lover gets to defend the kingdom no matter what! Lead your defense & action-packed battles even offline as the adventure doesn’t stop even if the internet does!
Enjoy epic offline tower defense missions and hours of fun strategic battles anytime, anywhere!

Are you ready for this epic strategy game?
Command your mighty heroes and towers to defend the kingdom!
Play the epic tower defence royale Kingdom Rush game with your defense strategy to battle for victory!

HEARD ON THE MEDIA ABOUT THIS EPIC TOWER DEFENSE ROYALE GAME:

Probably the best true tower defense game. It's funny, it's polished, and it's hard as balls. - IGN

One of the most engaging TD games we've played... -Slidetoplay.com

Kingdom Rush can be filed in the thin folder marked games that are pretty much perfect"" -JayisGames.com

This is one kingdom you'll be in no rush to escape from -PocketGamer

--------
Ironhide Terms and Conditions: https://www.ironhidegames.com/TermsOfService
Ironhide Privacy Policy: https://www.ironhidegames.com/PrivacyPolicy"
