App_ID,Title,Installs,Rating,Total_Reviews,Pros_Keywords,Cons_Keywords,Categorized_Pros,Categorized_Cons
com.generamobile.runforrestrun,Runner odyssey:running journey,,4.253521,117596,"1. I was able to get all the items and the items with the boosters being different from the previous game, 2. It was amazing how much i got",1.1.1: I could not get the coins that I had in the previous run. I have been using the game for a year and still cannot,customization options,repetitive
com.swipe.brick.breaker,Swipe Brick Breaker: The Blast,,4.292683,43605,1. you can buy your new phone on Amazon at the same time as your old one. You can buy it at a few places like Amazon or eBay.,1. It's really buggy. 2. It's so short that you end up losing to a gank. I've played it 2 times and it was,customization options,bugs and glitches
com.cct.endlessrun.jungleescape,Endless Run: Jungle Escape 2,,4.24,26149,1. It runs smoothly on all Android devices. 2. It is free to play. 3. More than one way to play. 4. You can also,1. The game is not very addictive 2. It's a little hard to play 3. It's a pretty bad game 4. I don't understand why,free to play,lacks content
com.games.layerman,Layer Man 3D: Run & Collect,,4.2597866,16962,1. It is a fun game with lots of fun. 2. It works like a charm. It keeps me on my toes and I love playing it.,1. Ads are not going to connect to your game and in order to get you to play the game you have to be online. 2. The players are,fun gameplay,connection issues
com.outfit7.talkingtomgoldrun,Talking Tom Gold Run,,4.32452,6382161,"1. The characters, 2. They are a really cute chibi like art style 1. The characters, 3. They are a really cute chibi like",1. not getting the game back and I have to download it from my computer 2. no one has the game in my pocket 3. no one has the,good graphics,bugs and glitches
com.zhiliaoapp.musically,"TikTok - Videos, Shop & LIVE",,4.0131516,68389843,"1. It's very easy to navigate. I like it, it's the best. 2. It's very easy to go places. I love it,","1. I have tried the upload button only once, and it has to be clicked once or twice. 2. I have heard that you could send it to",smooth controls,repetitive
com.aceviral.petrun,Pet Run - Puppy Dog Game,,4.6054215,70579,"1. Easy to learn, but I can learn it quickly.
2. No-one is going to leave the game without having found a way to win",1. No audio. This is a game with audio. I have just played a few minutes of the game. It doesn't sound like the music is good,"easy to learn, fun gameplay",bad audio
com.h8games.helixjump,Helix Jump,,3.8685982,4159473,1. The level design is excellent. If you have your way and you have a sense of humor then this game will get you through a lot. 2.,1. I had to manually update all levels to 100 because of the ads. 2. I had to manually update every level in the game. I also had,fun gameplay,too many ads
com.imangi.templerun,Temple Run,,4.240066,5215331,1. The game is very easy to play. 2. I am a fan of the game. 3. The graphics are brilliant. 4. The game is,"1. There are only four ads in the game.
2. It is not compatible with most mobile phones.
3. The only ads in the game",good graphics,"bugs and glitches, lacks content"
com.WildWorks.DashTag,Dash Tag - Fun Endless Runner!,,4.2140846,16008,1. I love the animations. I'm a big fan of the game. 2. I love the way you can change the look of your characters and pets,1. The animation of the character is not smooth. 2. The game is hard to remember the exact number of times the character was in motion. 3.,customization options,bad graphics
fall.stars.race,STAR: Super Tricky Amazing Run,,4.235344,252325,1. You are a girl. 2. You are a girl. 3. You are a girl. 4. You are a girl. 5. You are,"1. All the bots that can't be attacked will disappear when they are defeated. 2. If you don't have enough money to buy a new robot,",customization options,pay to win
old.arcade.games.emulator,Old Arcade Games Emulator,,4.455446,11100,1. The emulators are easy to use. 2. The emulator seems to work quite well. 3. The game is really simple and enjoyable. 4.,1. Only the first 2 games on the list are available as a single download... 2. The download speeds of the games are slow..3. Even though,fun gameplay,repetitive
com.azurgames.stackball,Stack Ball - Crash Platforms,,4.431698,1120971,"1. It is very easy to play. 2. 
Key negative features: 1. It is very easy to play. 2. 
Key good","1. there's no way to earn money from this game (I've tried all the games I can think of for money, but never even had any idea","smooth controls, easy to learn, good story",repetitive
com.YayySAL.DodgeAgent,Dodge Agent,,4.2507553,32841,"1. you can shoot lasers, lasers are nice to use, you can jump, you can dodge, you can kill zombies, you can get hit, you","1. It's a 2D action adventure with no story, so it's very difficult to get a feel for the whole story. 2. It's a",customization options,lacks content
com.imangi.templerun2,Temple Run 2: Endless Escape,,4.1170087,9961648,1. You can play as anyone or any character. 2. You can play with friends or with your friends. 3. You can share content with other players,1. It's not as easy to use as you'd hope. You can't just swipe or swipe to jump. 2. It's not as intuitive to,customization options,bad controls
com.foytingo.lights_out_v2,LightsOut Reaction Time/Reflex,,3.9565217,568,1. It's quick with the screen of your phone. 2. It's very simple and easy to use. 3. It has a very good battery life,"1. Not enough time to watch videos and not enough time to see content. 2. Not enough time to view content, too much scrolling. 3. Not",easy to learn,lacks content
com.Born2Play.StackyDash,Stacky Dash,,4.21628,496885,1. Easy and engaging game 2. Beautiful graphics 3. Beautiful music 4. Beautiful puzzle 5. Easy way to play 6. Awesome graphics. 7. Highly,"1. there are literally no reviews, you only get one if you buy something in the first place 2. there are a lot of them in the game,",fun gameplay,lacks content
com.CheetahGames.Skeeboost,SkeeBoost: Ball Arcade Game,,4.6069713,8306,"1. No ""double touch"" button. 2. Easy to use and play. 3. You'll always be able to see the ball if you pull it",1. Your score is not accurate. 2. The game is not good enough. 3. It has a hard-hitting game mechanic that can put you in,smooth controls,too hard
com.slippy.linerusher,Fun Race 3D — Run and Parkour,,4.302658,2604824,"1. It has 2 levels that you can complete for a money bonus of 100 coins. That's a lot of coins to get, but it does give you",1. the player selection screen is very narrow 2. your inventory is limited and you have to choose which item to equip 3. the game freezes if you press,fun gameplay,bad controls
com.sega.sonicdash,Sonic Dash: Endless Run,,4.68246,6507069,"1. The graphics are good, the sound is good, the music is good. 2. The game feels like Sonic the Hedgehog 2, the same as",1. There are a lot more choices to make. 2. If you're playing a game that you would like to play but still like to play the game,good graphics,lacks content
com.mediocre.smashhit,Smash Hit,,4.51775,4682658,"1. Beautiful graphics, 2. Amazing sound effects, 3. Hard to find a nice price for this game, 4. It's a must have game because",1. No-one can hear the sound of your voice. 2. No-one can hear the sound of your voice. 3. No-one can,good graphics,repetitive
com.pixelbite.ga2,Reckless Getaway 2: Car Chase,,4.26784,234490,1. There is a huge amount of gameplay to choose from. The game is packed with the best. 2. The game has a lot of features to choose,1. The world is filled with junk. 2. The level is too big and over all very boring. 3. The level system is bad. 4.,fun gameplay,boring
com.youmusic.magictiles,Magic Tiles 3™ - Piano Game,,4.6129055,3427965,"1. It's easy to get stuck in music.
2. It's a great challenge to get your head around.
3. There's a lot","1. I want to play the game again but I can't. 2. I want to play a few more levels, but I just don't get the","customization options, fun gameplay",repetitive
ru.iamtagir.swipetogo,Swipe to go,,3.875,990,1. Good design and design is what make it a good game. 2. The game can be challenging and challenge but it's hard to get bored. 3,1. The controls are sluggish and not very good. 2. The sound effect is dull and muffled. 3. No sound until you press the button on,fun gameplay,bad controls
com.games.bottle,Bottle Jump 3D,,4.4454465,384563,"1. You can skip the game by pressing the B button,2. You can save the game and play using the right stick,3. You can delete",1. This could happen to anyone. So I've tried my best to avoid this issue.2. I've started a new account and am using the app,customization options,bugs and glitches
com.CAYN.TowerOfHellObby,Obby Parkour: Runner Game,,4.515513,80515,"1. it's not just a game for kids, it's also a game for adults! 2. it's not just a game for adults, it's",1. It's extremely confusing. 2. It's very hard to play the game. 3. It's so hard to run the ad. 4. It,fun gameplay,too hard
com.shape.change,Jelly Shift - Obstacle Course,,4.3386946,333272,1. You can play with two characters. 2. You can play with a large number of characters. 3. You can play with a huge number of environments,"1. Ads are so disruptive and constant that it makes it unplayable. Every level is followed by an ad, some you can't skip, and the",multiplayer,repetitive
com.groogadgets.swipefight,Swipe Fight!,,4.5054464,13853,"1. A very satisfying fighting game with great puzzles and well balanced level design. 2. A very addicting, great score. 3. A really entertaining game",1. No new maps. 2. I just like to see real 2d maps. 3. I hate that the game just takes too long. 4.,fun gameplay,repetitive
com.nautilus.realcricketchampionship,Real Cricket™ Swipe,,4.26,93139,"1. A great game with great graphics, 1. The idea is to get in a 2nd division match and have a good match. 2. The game","1. Your ship is not ready for the play. You can start the game at any time and still be stuck, and it will fail, but not if",good graphics,lacks content
com.kiloo.subwaysurf,Subway Surfers,,4.552353,41844417,1. You can play the game on your own. 2. You can play with friends. 3. 3ds Max is a huge hit. 4. It,"1. It's a really short, weird story. It's not a real game. 2. It's weird. 3. I don't know how to",fun gameplay,lacks content
com.gameone.arcadebowlinggo2,Arcade Bowling Go 2,,4.2864237,6598,1. You can play with your friends. 2. There is a way to record the game so you can replay it. 3. You can watch your friends,1. There were absolutely no controls for when I was playing this game. This was the first time I had ever been able to control my game. 2.,multiplayer,bad controls
com.yodo1.crossyroad,Crossy Road,,4.4675107,4571074,"1. It is a fun game, it is a great game and I don't regret having it. 2. I would recommend it to anyone, it's",1. The game is not easy to load. 2. It is not compatible with any other Android devices. 3. It is not compatible with any other mobile,fun gameplay,too hard
com.huskaimm.com.templespiritendelssrun,Endless Run: Jungle Escape,,4.301724,41567,"1. Download the game. 2. Play on your phone. 3. Enjoy the game.


I have been playing this on my Android phone for a","1. It's very long. 2. It's not fast. Really, it's not at all fast. 3. It's not great. 4.","good music, fun gameplay",repetitive
com.kongregate.mobile.burritobison3.google,Burrito Bison: Launcha Libre,,4.811814,670241,1. The game is very simple and you can play all your characters at once. 2. You have tons of customization options. 3. There are lots of,1. The game freezes when you double click it. 2. The game does not take you to the correct location. 3. The game freezes while you play,customization options,bad controls
com.rocket.jackal.squad,Jackal Squad - Arcade Shooting,,4.7011495,81380,1. Completely free for the first 5 or 6 chapters. 2. The game takes a lot of practice and fun to play. 3. A lot of,1. You need a weapon that can hit your targets. 2. You only get two rounds per round. 3. You don't have a long range weapon,fun gameplay,lacks content
com.kiloo.metroland,MetroLand - Endless Runner,,4.17,11594,1. Great graphics. 2. No lag in the background. 3. You can get your gear out of the game at any time. 4. A really,"1. It works great, but it's just not as fun as I thought. 2. The ad doesn't open or close, what kind of ad do",good graphics,boring
brain.reaction.concentration,Reflex: Brain reaction,,4.72,8785,"1. It helps you to develop a more focused and focused mind, 2. It helps you to make better use of your mind and body. This is an",1. You can't select what game you want to play... 2. You can't run over things... 3. You can't find anything... 4.,customization options,lacks content
com.ketchapp.stack,Stack,,3.9682646,445265,"1. It really is addicting and i think the graphics are great 2. It is fun, it is simple, it works really well 3. It has",1. The ads just don't do what they should be. 2. They are boring. 3. It's too much. 4. Ads can be annoying,good graphics,boring
app.madyetigames.superdash,Super Dash - Endless Run,,4.6571426,360,"1. The game has a good story, and an interesting story to tell. 2. The game is easy to learn and interesting. I didn't find the","1. The game is really not a game. 2. The game is quite buggy. 3. The game is very, very repetitive.
Score: 5",easy to learn,"bugs and glitches, repetitive"
com.halfbrick.jetpackjoyride,Jetpack Joyride,,4.45518,4833808,1. Great mechanics 2. Interesting and fun gameplay. 3. Unique and difficult to beat 4. Good graphics. 5. Good multiplayer. 6. Well done,1. No screenshots. 2. No screenshots. 3. No screenshots. Gameplay: I'm a huge fan of the original and played about 40 hours of,multiplayer,lacks content
io.shenron.lnr,Long Neck Run,,4.53053,204229,"1. It is not a free game. 2. There are no ads. 3. There are no ""rewards"". 4. There is very little story","1. The game is very easy to learn, and if you can't read the game you just need to play the game. 2. The game is not",fun gameplay,lacks content
com.robtopx.geometrydashmeltdown,Geometry Dash Meltdown,,4.5822506,1887471,1. You can play as many as 5 characters. 2. You can choose from seven different characters. 3. You can join or leave the game. 4,1. Game isn't properly designed. 2. Some of the levels aren't as good as they should have been. 3. There's no way to buy,multiplayer,lacks content
com.playgendary.sportmasters,Bouncemasters: Penguin Games,,4.4852734,574194,"1. No ads, no annoying ads, no stupid annoying ads. 2. No annoying ads, no stupid annoying ads. 3. No annoying ads, no",1. The game is a mess. 2. The game doesn't have any quests. The quests aren't very meaningful. 3. The game is very easy,customization options,lacks content
com.alien.shooter.galaxy.attack,Galaxy Attack: Shooting Game,,4.645915,2523435,"1. You can choose to save the game on the PS3 or go to the dedicated download menu. 2. When you save your game, it will download",1. The game is very slow. 2. The difficulty was so high that you could not play the entire game. 3. You can't play through all,customization options,too hard
com.game.space.shooter2,Space shooter - Galaxy attack,,4.8243194,1885356,1. You have to choose from 3 different types of items to get the best car ride. 2. You can use objects and other things to get the best,1. It is a PS4 version only. You can download the game from here. 2. It is a PS3 version only. You can download the,customization options,lacks content
com.outofthebit.superarcaderacing,Super Arcade Racing,,4.21,3354,"1. Easy to load, a good level editor, the art style is pretty good and the story is pretty good. 2. Playable with both friends and","1. The music is terrible. 2. The game is too slow or too slow. 3. The gameplay is really boring. When I play, I get",good graphics,boring
com.mgc.runnergame,Run Race 3D — Fun Parkour Game,,4.401567,1417792,"1. Every game is fun, i like to play with my friends and play with them. 2. I like to play with my friends and play with them","1. The game doesn't have any music. I am a big fan of the intro music, but the music is so boring (especially on the first couple",fun gameplay,boring
com.sjkim.retroxel2,RETROXEL: Retro Arcade Games,,4.184466,2782,"1. It has a very useful and user friendly program for you, if you are looking for an app to help manage your accounts, this app is definitely for",1. I am not sure if I am being fair to someone because I am not sure which game my playing in. 2. I am not sure how it,smooth controls,bad controls
com.playgendary.ktbremaster,Kick the Buddy: Second Kick,,4.37252,1121578,1. A very good game with a lot of new weapons to destroy Buddy. 2. You can still destroy Buddy. 3. All of the new weapons that,1. The camera is so blurry that the screen is only 3 inches from the screen of the game. 2. The controller is really bad and feels like it,fun gameplay,bad controls
com.chris.hyperrace,Hyper Run 3D,,4.499079,27756,1. It is completely free and very addicting! 2. It has a very nice color palette and it is pretty well designed. 3. It has all,"1. No way to earn points, especially in the first few levels. 2. There are so many problems, that it's hard to play without crashing.",free to play,bugs and glitches
